序号,费用类型,发生日期,开票日期,业务日期,发票号码,销售方,项目说明,报销金额(元),税额(元),重点标注,付款凭证来源,付款时间,付款匹配金额(元),付款凭证说明(参考),附件
1,高铁发票,2026-05-11,2026-06-10,2026-05-11,26449165860003132115,中国铁路 / 铁路电子客票,深圳北站 -> 武汉站 G386 14:27开 二等座 14车08A号,627.50,,,去哪儿旅行付款截图,,627.50,出票完成页与订单列表页匹配。,电子发票-2cu3p12000srb0c8eBD09.pdf
2,高铁发票,2026-05-15,2026-06-10,2026-05-15,26429165800003361938,中国铁路 / 铁路电子客票,武汉站 -> 北京西站 G348 13:40开 二等座 08车01C号,623.00,,,去哪儿旅行付款截图,,623.00,出票完成页与订单列表页匹配。,电子发票-2cu6j12000srb0jbx0734.pdf
3,高铁发票,2026-05-17,2026-06-10,2026-05-17,26119121152004547051,中国铁路 / 铁路电子客票,北京西站 -> 武汉站 G337 16:55开 二等座 03车14F号,623.00,,,去哪儿旅行付款截图,,623.00,出票完成页与订单列表页匹配。,电子发票-2cu4c12000srb0feq3F04.pdf
4,高铁发票,2026-05-21,2026-06-10,2026-05-21,26429165800003361944,中国铁路 / 铁路电子客票,武汉站 -> 深圳北站 G303 13:59开 二等座 02车03F号,627.50,,,去哪儿旅行付款截图,,627.50,出票完成页与订单列表页匹配。,电子发票-2cu6b12000srb0d680C8C.pdf
5,酒店发票,2026-05-11,2026-06-10,,26422000002063315686,武汉耀格酒店管理有限公司,住宿费,342.32,19.38,,酒店订单截图,,342.32,大床房 1间，共1晚。,dzfp_26422000002063315686_武汉非凡互动网络科技有限公司_20260610002012.pdf
6,酒店发票,2026-05-12,2026-06-10,,26422000002063037556,武汉耀格酒店管理有限公司,住宿费,342.32,19.38,,酒店订单截图,,342.32,大床房 1间，共1晚。,dzfp_26422000002063037556_武汉非凡互动网络科技有限公司_20260610002009.pdf
7,酒店发票,2026-05-13,2026-06-10,,26422000002063702716,武汉耀格酒店管理有限公司,住宿费,351.12,19.87,,酒店订单截图,,351.12,大床房 1间，共1晚。,dzfp_26422000002063702716_武汉非凡互动网络科技有限公司_20260610002009.pdf
8,酒店发票,2026-05-17,2026-06-10,,26422000002063564701,武汉耀格酒店管理有限公司,住宿费,1053.36,59.62,重点：3晚及以上,酒店订单截图,,1053.36,大床房 1间，共3晚。,dzfp_26422000002063564701_武汉非凡互动网络科技有限公司_20260610002009.pdf
