序号,费用类型,发生日期,开票日期,业务日期,发票号码,销售方,项目说明,报销金额(元),税额(元),重点标注,付款凭证来源,付款时间,付款匹配金额(元),付款凭证说明(参考),附件
1,高铁发票,2026-04-03,2026-06-10,2026-04-03,26419165773005863573,中国铁路 / 铁路电子客票,郑州东站 -> 北京西站 G320 16:13开 16:13开 13车无座,371.00,,,去哪儿旅行付款截图,,371.00,第2程二等座成人票；与同订单第1程合并支付。,电子发票-2cu2w12000srb0qd9396C.pdf
2,高铁发票,2026-04-03,2026-06-10,2026-04-03,26429165800003361941,中国铁路 / 铁路电子客票,武汉站 -> 郑州东站 G320 14:37开 14:37开 07车无座,293.00,,,去哪儿旅行付款截图,,293.00,第1程二等座成人票；与同订单第2程合并支付。,电子发票-2cu2y12000srb0jzsAFC8.pdf
3,高铁发票,2026-04-16,2026-06-10,2026-04-16,26449165860003132114,中国铁路 / 铁路电子客票,深圳北站 -> 武汉站 G392 11:33开 二等座 13车16D号,627.50,,,去哪儿旅行付款截图,,627.50,出票完成页与订单列表页匹配。,电子发票-2cu5m12000srb0fg0977B.pdf
4,酒店发票,2026-04-02,2026-06-10,,26422000002063463286,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,383.52,21.71,,酒店订单截图,,383.52,城际高级房-双床 1间，共1晚。,dzfp_26422000002063463286_武汉非凡互动网络科技有限公司_20260610001958.pdf
5,酒店发票,2026-04-03,2026-06-10,,26112000002347984486,北京家润熙酒店管理有限公司,住宿费,408.92,23.15,,酒店订单截图,,408.92,高级大床房 1间，共1晚。,dzfp_26112000002347984486_武汉非凡互动网络科技有限公司_20260610081845.pdf
6,酒店发票,2026-04-16,2026-06-10,,26422000002062755931,武汉耀格酒店管理有限公司,住宿费,374.92,21.22,,酒店订单截图,,374.92,大床房 1间，共1晚。,dzfp_26422000002062755931_武汉非凡互动网络科技有限公司_20260610002009.pdf
7,酒店发票,2026-04-17,2026-06-10,,26422000002063564686,武汉耀格酒店管理有限公司,住宿费,1176.56,66.60,重点：3晚及以上,酒店订单截图,,1176.56,大床房 1间，共3晚。,dzfp_26422000002063564686_武汉非凡互动网络科技有限公司_20260610002009.pdf
8,酒店发票,2026-04-20,2026-06-10,,26422000002063170756,武汉耀格酒店管理有限公司,住宿费,736.24,41.67,重点：2晚及以上,酒店订单截图,,736.24,大床房 1间，共2晚。,dzfp_26422000002063170756_武汉非凡互动网络科技有限公司_20260610002012.pdf
9,其他发票,2026-04-05,2026-06-10,,26517000000453186229,四川去哪儿网国际旅行社有限公司,生产生活服务机票款次,647.00,36.63,,去哪儿旅行付款截图,2026-04-03 20:38:56,647.00,订单总额 687.00，其中航班票款对应发票金额 647.00；保险 40.00 未纳入本次报销。,2026-04-05 北京-深圳-204429648795-机票电子发票-647.00.pdf
